feature,label
0.3110,2
0.3109,2
0.3092,2
0.3075,2
0.3075,2
0.3057,2
0.3053,2
0.4446,2
0.5840,2
0.5840,2
0.7229,2
0.8615,2
0.8615,2
0.8615,2
1.0000,2
1.0000,2
0.8606,2
0.8606,2
0.8606,2
0.8606,2
0.8606,2
0.8637,2
0.7244,2
0.5846,2
0.5846,2
0.5846,2
0.5815,2
0.7208,2
0.7235,2
0.5840,2
0.4441,2
0.4439,2
0.3049,2
0.3034,2
0.3046,2
0.3054,2
0.3069,2
0.3077,2
0.3083,2
0.3089,2
0.3098,2
0.3102,2
0.3105,2
0.3108,2
0.3108,2
0.3117,2
0.3115,2
0.3111,2
0.3110,2
0.3115,2
0.3106,2
0.3101,2
0.3102,2
0.3103,2
0.3105,2
0.3115,2
0.3124,2
0.3144,2
0.3153,2
0.3158,2
0.3164,2
0.3192,2
0.3206,2
0.3246,2
0.3282,2
0.3324,2
0.3358,2
0.3402,2
0.3440,2
0.3486,2
0.3529,2
0.3571,2
0.3617,2
0.3658,2
0.3703,2
0.3754,2
0.3798,2
0.3834,2
0.3870,2
0.3896,2
0.3915,2
0.3939,2
0.3957,2
0.3970,2
0.3983,2
0.4001,2
0.4013,2
0.4029,2
0.4042,2
0.3887,2
0.3893,2
0.3896,2
0.3902,2
0.3903,2
0.4080,2
0.4088,2
0.4101,2
0.4117,2
0.5303,2
0.5326,2
0.5357,2
0.5384,2
0.5386,2
0.4231,2
0.4224,2
0.4208,2
0.5355,2
0.6519,2
0.6502,2
0.6493,2
0.6473,2
0.5284,2
0.4087,2
0.4049,2
0.4004,2
0.3959,2
0.3904,2
0.3848,2
0.3787,2
0.3731,2
0.3686,2
0.3639,2
0.3606,2
0.3566,2
0.3547,2
0.3525,2
0.3495,2
0.3469,2
0.3465,2
0.3436,2
0.3378,2
0.3351,2
0.3313,2
0.3275,2
0.3236,2
0.3214,2
0.3190,2
0.3169,2
0.3142,2
0.3117,2
0.3121,2
0.3117,2
0.3111,2
0.3111,2
0.3118,2
0.3098,2
0.3103,2
0.3118,2
0.3133,2
0.3166,2
0.3229,2
0.3280,2
0.3308,2
0.3348,2
0.3379,2
0.3393,2
0.3414,2
0.3472,2
0.3522,2
0.3560,2
0.3602,2
0.3634,2
0.3641,2
0.3639,2
0.3652,2
0.3664,2
0.3686,2
0.3712,2
0.3737,2
0.3761,2
0.3781,2
0.3801,2
0.3810,2
0.3821,2
0.3834,2
0.3847,2
0.3852,2
0.3874,2
0.3909,2
0.3934,2
0.3969,2
0.3998,2
0.4025,2
0.4040,2
0.4077,2
0.4106,2
0.4149,2
0.4189,2
0.4250,2
0.4293,2
0.4330,2
0.4363,2
0.4405,2
0.4424,2
0.4445,2
0.4471,2
0.4494,2
0.4502,2
0.4528,2
0.4557,2
0.4589,2
0.4621,2
0.4669,2
0.4715,2
0.4749,2
0.5815,2
0.5826,2
0.5814,2
0.5789,2
0.5757,2
0.4668,2
0.4620,2
0.4564,2
0.4509,2
0.4464,2
0.4436,2
0.4396,2
0.4356,2
0.4124,2
0.4066,2
0.3997,2
0.3943,2
0.3902,2
0.4035,2
0.3996,2
0.3962,2
0.3925,2
0.3882,2
0.3856,2
0.3825,2
0.3798,2
0.3679,2
0.3664,2
0.3642,2
0.3621,2
0.3590,2
0.3660,2
0.3629,2
0.3597,2
0.3550,2
0.3498,2
0.3449,2
0.3399,2
0.3338,2
0.3310,2
0.3280,2
0.3236,2
0.3210,2
0.3197,2
0.3162,2
0.3143,2
0.3133,2
0.3105,2
0.3088,2
0.3069,2
0.3058,2
0.3045,2
0.3036,2
0.3027,2
0.3024,2
0.3026,2
0.3025,2
0.3031,2
0.3030,2
0.3030,2
0.3026,2
0.3026,2
0.3022,2
0.3017,2
0.3021,2
0.3017,2
0.3017,2
0.3022,2
0.3026,2
0.3022,2
0.3022,2
0.3022,2
0.3018,2
0.3009,2
0.3009,2
0.3005,2
0.3000,2
0.3005,2
0.3009,2
0.3009,2
0.3009,2
0.3009,2
0.3010,2
0.3022,2
0.3029,2
0.3041,2
0.3052,2
0.3055,2
0.3073,2
0.3087,2
0.3107,2
0.3156,2
0.3194,2
0.3226,2
0.3292,2
0.3341,2
0.3366,2
0.3419,2
0.3454,2
0.3469,2
0.3499,2
0.3526,2
0.3542,2
0.3568,2
0.3592,2
0.3601,2
0.3618,2
0.3630,2
0.3646,2
0.3661,2
0.3706,2
0.3733,2
0.3758,2
0.3782,2
0.3810,2
0.3831,2
0.3862,2
0.3907,2
0.3951,2
0.3997,2
0.4045,2
0.4101,2
0.4165,2
0.4222,2
0.4262,2
0.4293,2
0.4325,2
0.4342,2
0.4367,2
0.4405,2
0.4436,2
0.4469,2
0.4524,2
0.4585,2
0.4345,2
0.4409,2
0.4470,2
0.4509,2
0.4561,2
0.4913,2
0.4952,2
0.4987,2
0.5024,2
0.5053,2
0.5084,2
0.4732,2
0.4802,2
0.4845,2
0.4915,2
0.4524,2
0.5881,2
0.5884,2
0.5914,2
0.5903,2
0.6354,2
0.5523,2
0.5571,2
0.5618,2
0.6529,2
0.7430,2
0.7425,2
0.7394,2
0.7381,2
0.6483,2
0.5562,2
0.6398,2
0.6383,2
0.6342,2
0.6363,2
0.6380,2
0.5456,2
0.5425,2
0.5419,2
0.5332,2
0.4888,2
0.4869,2
0.4870,2
0.5797,2
0.5759,2
0.7107,2
0.6698,2
0.7646,2
0.6608,2
0.7610,2
0.7610,2
0.8962,2
0.8962,2
0.8910,2
0.8910,2
0.8910,2
