feature,label
0.1642,1
0.1623,1
0.1605,1
0.1581,1
0.1560,1
0.1534,1
0.1522,1
0.1512,1
0.1508,1
0.1496,1
0.1507,1
0.1502,1
0.1510,1
0.1523,1
0.2681,1
0.3756,2
0.4812,2
0.5840,2
0.6871,2
0.5823,2
0.5771,2
0.5728,2
0.5810,2
0.5790,2
0.6704,2
0.6781,2
0.6878,2
0.6886,2
0.6989,2
0.7081,2
0.6030,2
0.4947,2
0.3855,2
0.2754,1
0.2789,1
0.3878,2
0.5026,2
0.6168,2
0.7339,2
0.6254,2
0.5171,2
0.4083,2
0.2964,2
0.1822,1
0.1819,1
0.1814,1
0.1806,1
0.3449,2
0.5093,2
0.6738,2
0.8377,2
1.0000,2
1.0000,2
1.0000,2
1.0000,2
0.9597,2
0.8000,2
0.6371,2
0.4737,2
0.3139,2
0.3192,2
0.4789,2
0.6418,2
0.8051,2
0.9649,2
0.9586,2
0.9198,2
0.9198,2
0.9198,2
0.9198,2
0.9612,2
1.0000,2
1.0000,2
0.9778,2
0.8234,2
0.6683,2
0.5144,2
0.3594,2
0.2260,1
0.2251,1
0.2254,1
0.2239,1
0.2236,1
0.2253,1
0.2272,1
0.2280,1
0.2295,1
0.2313,1
0.2316,1
0.2317,1
0.2329,1
0.2333,1
0.2337,1
0.2350,1
0.2366,1
0.2381,1
0.2379,1
0.2366,1
0.2340,1
0.2301,1
0.2259,1
0.2212,1
0.2160,1
0.2102,1
0.2036,1
0.1967,1
0.1906,1
0.1856,1
0.1804,1
0.1755,1
0.1695,1
0.1641,1
0.1592,1
0.1547,1
0.1511,1
0.1480,1
0.1457,1
0.1423,1
0.1403,1
0.1372,1
0.1352,1
0.1332,1
0.1319,1
0.1300,1
0.1299,1
0.2290,1
0.3311,2
0.4291,2
0.5373,2
0.6453,2
0.6407,2
0.6357,2
0.6464,2
0.6454,2
0.6442,2
0.6555,2
0.6652,2
0.6504,2
0.6437,2
0.6359,2
0.5304,2
0.4252,2
0.3344,2
0.2367,1
0.1396,1
0.1425,1
0.1447,1
0.1468,1
0.1504,1
0.1546,1
0.1596,1
0.1653,1
0.1712,1
0.1775,1
0.1842,1
0.1895,1
0.1959,1
0.2012,1
0.2068,1
0.2134,1
0.2199,1
0.2239,1
0.2285,1
0.2329,1
0.2360,1
0.2396,1
0.2438,1
0.2481,1
0.2506,1
0.2535,1
0.2559,1
0.2583,1
0.2595,1
0.2610,1
0.2612,1
0.2612,1
0.2601,1
0.2594,1
0.2593,1
0.2596,1
0.2588,1
0.2584,1
0.2583,1
0.2564,1
0.2542,1
0.2515,1
0.2475,1
0.2423,1
0.2373,1
0.2331,1
0.2296,1
0.2261,1
0.2221,1
0.2180,1
0.2127,1
0.2075,1
0.2031,1
0.1993,1
0.1963,1
0.1934,1
0.1901,1
0.1879,1
0.1846,1
0.1809,1
0.1779,1
0.1741,1
0.1692,1
0.1647,1
0.1597,1
0.1534,1
0.1507,1
0.2531,1
0.3568,2
0.4657,2
0.5754,2
0.6695,2
0.6696,2
0.6697,2
0.6650,2
0.6577,2
0.6650,2
0.6635,2
0.6630,2
0.6611,2
0.6623,2
0.6628,2
0.6626,2
0.6619,2
0.6655,2
0.6698,2
0.6762,2
0.6835,2
0.6921,2
0.6999,2
0.7092,2
0.7182,2
0.7278,2
0.7362,2
0.7486,2
0.7563,2
0.7661,2
0.7749,2
0.7850,2
0.6678,2
0.5543,2
0.5670,2
0.4492,2
0.3302,2
0.3337,2
0.3354,2
0.2093,1
0.2127,1
0.2161,1
0.2202,1
0.2257,1
0.2293,1
0.2333,1
0.2380,1
0.2420,1
0.2455,1
0.2488,1
0.2519,1
0.2539,1
0.2552,1
0.2553,1
0.2554,1
0.2556,1
0.2556,1
0.2556,1
0.2559,1
0.2558,1
0.2545,1
0.2524,1
0.2491,1
0.2453,1
0.2412,1
0.2373,1
0.2322,1
0.2287,1
0.2241,1
0.2185,1
0.2134,1
0.2102,1
0.2053,1
0.2017,1
0.1986,1
0.1951,1
0.1907,1
0.1870,1
0.1822,1
0.1776,1
0.1730,1
0.1690,1
0.1646,1
0.1616,1
0.1573,1
0.1543,1
0.1532,1
0.2573,1
0.3605,2
0.4653,2
0.5632,2
0.6647,2
0.6611,2
0.6575,2
0.6492,2
0.6528,2
0.6410,2
0.6311,2
0.6238,2
0.6192,2
0.6085,2
0.6142,2
0.6146,2
0.6165,2
0.6207,2
0.6275,2
0.6344,2
0.6483,2
0.6615,2
0.6773,2
0.6912,2
0.5894,2
0.4844,2
0.3772,2
0.2674,1
0.1582,1
0.1593,1
0.1621,1
0.1657,1
0.1692,1
0.1734,1
0.1767,1
0.1796,1
0.1820,1
0.1843,1
0.1857,1
0.1869,1
0.1880,1
0.1889,1
0.1894,1
0.1903,1
0.1914,1
0.1921,1
0.1933,1
0.1944,1
0.1956,1
0.1964,1
0.1972,1
0.1983,1
0.1999,1
0.2010,1
0.2027,1
0.2045,1
0.2052,1
0.2067,1
0.2085,1
0.2097,1
0.2118,1
0.2145,1
0.2168,1
0.2184,1
0.2205,1
0.2220,1
0.2235,1
0.2247,1
0.2264,1
0.2282,1
0.2292,1
0.2311,1
0.2322,1
0.2342,1
0.2362,1
0.2391,1
0.2414,1
0.2437,1
0.2446,1
0.2463,1
