feature,label
0.1354,1
0.1382,1
0.1387,1
0.1393,1
0.1399,1
0.1411,1
0.1430,1
0.1449,1
0.1469,1
0.1487,1
0.1495,1
0.1505,1
0.1518,1
0.1532,1
0.1541,1
0.1555,1
0.1564,1
0.1578,1
0.1580,1
0.1585,1
0.1591,1
0.1596,1
0.1599,1
0.1604,1
0.1609,1
0.1604,1
0.1606,1
0.1580,1
0.2639,1
0.3622,2
0.4550,2
0.5471,2
0.5362,2
0.4137,2
0.3004,2
0.1915,1
0.0822,0
0.0780,0
0.0762,0
0.0734,0
0.0723,0
0.0716,0
0.0722,0
0.0731,0
0.0746,0
0.0757,0
0.0770,0
0.0781,0
0.0793,0
0.0797,0
0.0802,0
0.0811,0
0.0821,0
0.0831,0
0.0835,0
0.0848,0
0.0857,0
0.0861,0
0.0875,0
0.0887,0
0.0898,0
0.0909,0
0.0924,1
0.0934,1
0.0953,1
0.0963,1
0.0979,1
0.0985,1
0.1001,1
0.1008,1
0.1028,1
0.1049,1
0.1100,1
0.1111,1
0.2148,1
0.3169,2
0.3160,2
0.4151,2
0.4164,2
0.3169,2
0.2163,1
0.2187,1
0.1172,1
0.1187,1
0.2221,1
0.3280,2
0.3295,2
0.3319,2
0.3333,2
0.2317,1
0.1291,1
0.1305,1
0.1315,1
0.1314,1
0.1322,1
0.1329,1
0.1342,1
0.1354,1
0.1367,1
0.1376,1
0.1393,1
0.1406,1
0.1422,1
0.1439,1
0.1454,1
0.1460,1
0.1465,1
0.1479,1
0.1488,1
0.1506,1
0.1528,1
0.1550,1
0.1563,1
0.1588,1
0.1600,1
0.1613,1
0.1621,1
0.1634,1
0.1643,1
0.1657,1
0.1669,1
0.1691,1
0.1710,1
0.1721,1
0.1739,1
0.1757,1
0.1772,1
0.1785,1
0.1801,1
0.1812,1
0.1822,1
0.1829,1
0.1850,1
0.1873,1
0.1891,1
0.1905,1
0.1924,1
0.1933,1
0.1936,1
0.1945,1
0.1956,1
0.1962,1
0.1968,1
0.1973,1
0.1983,1
0.1995,1
0.2005,1
0.2012,1
0.2025,1
0.2024,1
0.2023,1
0.2024,1
0.2034,1
0.2048,1
0.2072,1
0.2094,1
0.2110,1
0.2128,1
0.2147,1
0.2167,1
0.2184,1
0.2214,1
0.2240,1
0.2254,1
0.2265,1
0.2288,1
0.2309,1
0.2329,1
0.2351,1
0.2374,1
0.2393,1
0.2403,1
0.2413,1
0.2425,1
0.2434,1
0.2443,1
0.2456,1
0.2474,1
0.2498,1
0.2527,1
0.2548,1
0.2570,1
0.2584,1
0.2592,1
0.2585,1
0.2588,1
0.2572,1
0.2553,1
0.2515,1
0.2487,1
0.2448,1
0.2417,1
0.2384,1
0.2360,1
0.2332,1
0.2307,1
0.2277,1
0.2253,1
0.2238,1
0.2212,1
0.2173,1
0.2137,1
0.2090,1
0.2037,1
0.1982,1
0.1939,1
0.1889,1
0.1837,1
0.1791,1
0.1754,1
0.1710,1
0.1658,1
0.1609,1
0.1548,1
0.1476,1
0.1406,1
0.1391,1
0.2465,1
0.3451,2
0.3403,2
0.3355,2
0.3251,2
0.2065,1
0.0973,1
0.0925,1
0.0879,0
0.0849,0
0.0818,0
0.0791,0
0.0760,0
0.0739,0
0.0727,0
0.0735,0
0.0738,0
0.0743,0
0.0738,0
0.0710,0
0.0669,0
0.0646,0
0.0637,0
0.0681,0
0.0702,0
0.0733,0
0.0772,0
0.0829,0
0.0830,0
0.0884,0
0.2201,1
0.2234,1
0.2258,1
0.2298,1
0.2336,1
0.1099,1
0.1140,1
0.1172,1
0.1202,1
0.1231,1
0.1265,1
0.1295,1
0.1329,1
0.1358,1
0.1399,1
0.1436,1
0.1464,1
0.1495,1
0.1535,1
0.1557,1
0.1585,1
0.1619,1
0.1644,1
0.1672,1
0.1699,1
0.1726,1
0.1760,1
0.1803,1
0.1824,1
0.1853,1
0.1882,1
0.1919,1
0.1939,1
0.1970,1
0.1997,1
0.2033,1
0.2051,1
0.2074,1
0.2107,1
0.2136,1
0.2161,1
0.2190,1
0.2225,1
0.2261,1
0.2302,1
0.2336,1
0.2374,1
0.2410,1
0.2441,1
0.2471,1
0.2505,1
0.2533,1
0.2560,1
0.2589,1
0.2615,1
0.2634,1
0.2653,1
0.2676,1
0.2691,1
0.2708,1
0.2730,1
0.2743,1
0.2752,1
0.2759,1
0.2756,1
0.2742,1
0.2720,1
0.2685,1
0.2644,1
0.2603,1
0.2558,1
0.2524,1
0.2486,1
0.2448,1
0.2407,1
0.2375,1
0.2334,1
0.2297,1
0.2260,1
0.2227,1
0.2187,1
0.2157,1
0.2131,1
0.2097,1
0.2057,1
0.2037,1
0.2007,1
0.1971,1
0.1949,1
0.1929,1
0.1887,1
0.1855,1
0.1827,1
0.1789,1
0.1754,1
0.1730,1
0.1686,1
0.1643,1
0.1604,1
0.1559,1
0.1510,1
0.1469,1
0.1433,1
0.1384,1
0.1345,1
0.1315,1
0.1278,1
0.1238,1
0.1214,1
0.1178,1
0.1143,1
0.1108,1
0.1084,1
0.1072,1
0.2016,1
0.1987,1
0.1958,1
0.1918,1
0.1860,1
0.0858,0
0.0824,0
0.0796,0
0.0774,0
0.0751,0
0.0730,0
0.0708,0
0.0702,0
0.0698,0
0.0706,0
0.0706,0
0.0710,0
0.0707,0
0.0694,0
0.0675,0
0.1632,1
0.1657,1
0.2595,1
0.2613,1
0.2633,1
0.1693,1
0.1699,1
0.0809,0
0.0858,0
0.1960,1
0.2020,1
0.2081,1
0.2141,1
0.2186,1
