dist=  36.2 cm | feature=0.1726 | modelo=MEDIO (100%) | regra=MEDIO | OK   | concordancia=100.0% | 1 ms
dist=  36.5 cm | feature=0.1743 | modelo=MEDIO (100%) | regra=MEDIO | OK   | concordancia=100.0% | 0 ms
dist=  36.5 cm | feature=0.1741 | modelo=MEDIO (100%) | regra=MEDIO | OK   | concordancia=100.0% | 0 ms
dist=  36.3 cm | feature=0.1732 | modelo=MEDIO (100%) | regra=MEDIO | OK   | concordancia=100.0% | 0 ms
dist=  36.1 cm | feature=0.1721 | modelo=MEDIO (100%) | regra=MEDIO | OK   | concordancia=100.0% | 0 ms
dist=  35.7 cm | feature=0.1700 | modelo=MEDIO (100%) | regra=MEDIO | OK   | concordancia=100.0% | 0 ms
dist=  35.1 cm | feature=0.1671 | modelo=MEDIO (100%) | regra=MEDIO | OK   | concordancia=100.0% | 0 ms
dist=  34.7 cm | feature=0.1650 | modelo=MEDIO (100%) | regra=MEDIO | OK   | concordancia=100.0% | 0 ms
dist=  34.2 cm | feature=0.1627 | modelo=MEDIO (100%) | regra=MEDIO | OK   | concordancia=100.0% | 0 ms
dist=  33.6 cm | feature=0.1595 | modelo=MEDIO (100%) | regra=MEDIO | OK   | concordancia=100.0% | 0 ms
dist=  32.9 cm | feature=0.1559 | modelo=MEDIO (100%) | regra=MEDIO | OK   | concordancia=100.0% | 0 ms
dist=  32.3 cm | feature=0.1528 | modelo=MEDIO (100%) | regra=MEDIO | OK   | concordancia=100.0% | 0 ms
dist=  31.5 cm | feature=0.1490 | modelo=MEDIO (100%) | regra=MEDIO | OK   | concordancia=100.0% | 0 ms
dist=  30.8 cm | feature=0.1455 | modelo=MEDIO ( 99%) | regra=MEDIO | OK   | concordancia=100.0% | 0 ms
dist=  30.3 cm | feature=0.1428 | modelo=MEDIO ( 99%) | regra=MEDIO | OK   | concordancia=100.0% | 0 ms
dist=  29.8 cm | feature=0.1405 | modelo=MEDIO ( 99%) | regra=MEDIO | OK   | concordancia=100.0% | 0 ms
dist=  29.3 cm | feature=0.1376 | modelo=MEDIO ( 99%) | regra=MEDIO | OK   | concordancia=100.0% | 0 ms
dist=  28.9 cm | feature=0.1358 | modelo=MEDIO ( 98%) | regra=MEDIO | OK   | concordancia=100.0% | 0 ms
dist=  28.4 cm | feature=0.1332 | modelo=MEDIO ( 98%) | regra=MEDIO | OK   | concordancia=100.0% | 0 ms
dist=  27.9 cm | feature=0.1306 | modelo=MEDIO ( 98%) | regra=MEDIO | OK   | concordancia=100.0% | 0 ms
dist=  27.4 cm | feature=0.1284 | modelo=MEDIO ( 96%) | regra=MEDIO | OK   | concordancia=100.0% | 0 ms
